OpenGWAS.Trait	Tool.Mapping..1	Identifier	Score	Tool.Mapping..2	Identifier.1	Score.1	Tool.Mapping..3	Identifier.2	Score.2	mapper1	mapper2
1-eicosadienoylglycerophosphocholine*	glycerophosphocholine measurement	http://www.ebi.ac.uk/efo/EFO_0010489	0.566726029	eicosadienoic acid measurement	http://www.ebi.ac.uk/efo/EFO_0010489	0.566726029	glycerophospholipid measurement	http://www.ebi.ac.uk/efo/EFO_0010489	0.566726029	Benjamin Woolf	Giulio Centorame
1-palmitoleoylglycerophosphocholine*	glycerophosphocholine measurement	http://www.ebi.ac.uk/efo/EFO_0010489	0.595010986	glycerophospholipid measurement	http://www.ebi.ac.uk/efo/EFO_0010489	0.595010986	Hemolytic anemia due to diphosphoglycerate mutase deficiency	http://www.ebi.ac.uk/efo/EFO_0010489	0.595010986	Zak Thornton	Marina Vabistsevits
1c+mDC:%32+	Congenital muscular dystrophy	http://www.orpha.net/ORDO/Orphanet_97242	0.646952112	mild disease course	http://www.orpha.net/ORDO/Orphanet_97242	0.646952112	muscular dystrophy-dystroglycanopathy type B5	http://www.orpha.net/ORDO/Orphanet_97242	0.646952112	Ryan Langdon	Maria Sobczyk-Barad
3mm weak meridian (right)	Retrognathia	http://purl.obolibrary.org/obo/HP_0000278	0.486524537	heart failure	http://purl.obolibrary.org/obo/HP_0000278	0.486524537	congestive heart failure	http://purl.obolibrary.org/obo/HP_0000278	0.486524537	Benjamin Woolf	Giulio Centorame
4EBP2	Spinal muscular atrophy with respiratory distress type 1	http://www.orpha.net/ORDO/Orphanet_98920	0.25894593	15q11.2 microdeletion syndrome	http://www.orpha.net/ORDO/Orphanet_98920	0.25894593	beta-secretase 1 measurement	http://www.orpha.net/ORDO/Orphanet_98920	0.25894593	Benjamin Woolf	Giulio Centorame
Acetate	acetate measurement	http://www.ebi.ac.uk/efo/EFO_0010112	0.710774781	acetoacetate measurement	http://www.ebi.ac.uk/efo/EFO_0010112	0.710774781	Tyrosinemia type 1	http://www.ebi.ac.uk/efo/EFO_0010112	0.710774781	Samuel Neaves	Rebecca Carnegie
Acetyl-CoA carboxylase 2	Propionic acidemia	http://www.orpha.net/ORDO/Orphanet_35	0.533776595	Malonic aciduria	http://www.orpha.net/ORDO/Orphanet_35	0.533776595	Multiple carboxylase deficiency	http://www.orpha.net/ORDO/Orphanet_35	0.533776595	Benjamin Woolf	Giulio Centorame
Activator of 90 kDa heat shock protein ATPase homolog 1	heat shock 27 kDa protein measurement	http://www.ebi.ac.uk/efo/EFO_0010915	0.538573149	Shock	http://www.ebi.ac.uk/efo/EFO_0010915	0.538573149	heat shock protein beta-1 measurement	http://www.ebi.ac.uk/efo/EFO_0010915	0.538573149	Ryan Langdon	Maria Sobczyk-Barad
Adult-onset Still disease	adult-onset Still's disease	http://www.ebi.ac.uk/efo/EFO_0007135	0.820353072	Glycogen storage disease due to acid maltase deficiency, adult onset	http://www.ebi.ac.uk/efo/EFO_0007135	0.820353072	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0007135	0.820353072	everyone	NA
Adverse effects, not elsewhere classified	adverse effect	http://www.ebi.ac.uk/efo/EFO_0009658	0.618300248	immune system disease	http://www.ebi.ac.uk/efo/EFO_0009658	0.618300248	digestive system disease	http://www.ebi.ac.uk/efo/EFO_0009658	0.618300248	Ryan Langdon	Maria Sobczyk-Barad
