OpenGWAS.Trait	Tool.Mapping..1	Identifier1	Score1	Tool.Mapping..2	Identifier2	Score2	Tool.Mapping..3	Identifier3	Score3	mapper1	mapper2	exact mapping	broad mapping	narrow mapping	incorrect	Exact	non-EFO	comments
1-arachidonoylglycerophosphocholine*	glycerophosphocholine measurement	http://www.ebi.ac.uk/efo/EFO_0010489	0.594441072	glycerophospholipid measurement	http://www.ebi.ac.uk/efo/EFO_0007630	0.435044607	arachidonic acid measurement	http://www.ebi.ac.uk/efo/EFO_0006808	0.350763635	Ryan Langdon	Maria Sobczyk-Barad							
1-linoleoylglycerol (1-monolinolein)	Pancreatic triacylglycerol lipase deficiency	http://www.orpha.net/ORDO/Orphanet_309031	0.392113538	glycerol measurement	http://www.ebi.ac.uk/efo/EFO_0010115	0.386424096	diacylglycerol 36:1 measurement	http://www.ebi.ac.uk/efo/EFO_0010354	0.376140469	Samuel Neaves	Rebecca Carnegie							
3-phenylpropionate (hydrocinnamate)	Phenylketonuria	http://www.orpha.net/ORDO/Orphanet_716	0.374181362	entropion (disease)	http://purl.obolibrary.org/obo/MONDO_0001519	0.363147888	Hyperphenylalaninemia	http://www.orpha.net/ORDO/Orphanet_238583	0.352446078	Ryan Langdon	Maria Sobczyk-Barad							
3mm weak meridian (left)	Retrognathia	http://purl.obolibrary.org/obo/HP_0000278	0.486524537	heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	0.469802557	congestive heart failure	http://www.ebi.ac.uk/efo/EFO_0000373	0.469802557	Ryan Langdon	Maria Sobczyk-Barad							
Acetate	acetate measurement	http://www.ebi.ac.uk/efo/EFO_0010112	0.710774781	acetoacetate measurement	http://www.ebi.ac.uk/efo/EFO_0010111	0.69847912	Tyrosinemia type 1	http://www.orpha.net/ORDO/Orphanet_882	0.512424594	Samuel Neaves	Rebecca Carnegie							
Adrenate (22:4n6)	adrenal gland neoplasm	http://www.ebi.ac.uk/efo/EFO_0003850	0.668738933	adrenocortical adenoma	http://www.ebi.ac.uk/efo/EFO_0003104	0.662376895	adrenal gland cancer	http://purl.obolibrary.org/obo/MONDO_0002817	0.63690782	Zak Thornton	Marina Vabistsevits							
Age at hysterectomy	hysterectomy	http://www.ebi.ac.uk/efo/EFO_0003881	0.834406042	age	http://www.ebi.ac.uk/efo/EFO_0000246	0.409736895	age at death	http://www.ebi.ac.uk/efo/EFO_0005056	0.404553986	Ryan Langdon	Maria Sobczyk-Barad							
Age started smoking in former smokers	nicotine dependence	http://www.ebi.ac.uk/efo/EFO_0003768	0.647957779	smoking behavior	http://www.ebi.ac.uk/efo/EFO_0004318	0.647957779	smoking initiation	http://www.ebi.ac.uk/efo/EFO_0005670	0.500206557	Benjamin Woolf	Giulio Centorame							
Age when last ate meat	age at death	http://www.ebi.ac.uk/efo/EFO_0005056	0.493856104	age at last pregnancy measurement	http://www.ebi.ac.uk/efo/EFO_0009440	0.485585651	age	http://www.ebi.ac.uk/efo/EFO_0000246	0.422561688	Ryan Langdon	Maria Sobczyk-Barad							
Agouti-related protein	Agouti-related protein measurement	http://www.ebi.ac.uk/efo/EFO_0008016	0.71639993	Dark agouti	http://www.ebi.ac.uk/efo/EFO_0005291	0.569613487	urinary tract infection	http://www.ebi.ac.uk/efo/EFO_0003103	0.371762145	Samuel Neaves	Rebecca Carnegie							
