OpenGWAS.Trait	Tool.Mapping..1	Identifier1	Score1	Tool.Mapping..2	Identifier2	Score2	Tool.Mapping..3	Identifier3	Score3	exact mapping	broad mapping	narrow mapping	incorrect	Exact	non-EFO	comments
Age started smoking in former smokers	nicotine dependence	http://www.ebi.ac.uk/efo/EFO_0003768	0.647957779	smoking behavior	http://www.ebi.ac.uk/efo/EFO_0004318	0.647957779	smoking initiation	http://www.ebi.ac.uk/efo/EFO_0005670	0.500206557							
Angiopoietin-related protein 3	angiopoietin-2 measurement	http://www.ebi.ac.uk/efo/EFO_0006901	0.544895221	angiopoietin-1 receptor measurement	http://www.ebi.ac.uk/efo/EFO_0010600	0.509414868	angiopoietin-2 receptor measurement	http://www.ebi.ac.uk/efo/EFO_0006902	0.503091007							
Bacterial meningitis	bacterial meningitis	http://www.ebi.ac.uk/efo/EFO_1000831	0.994167544	infectious meningitis	http://www.ebi.ac.uk/efo/EFO_0000584	0.721334239	meningitis (disease)	http://purl.obolibrary.org/obo/MONDO_0021108	0.721334239							
BAFF-R on IgD+ CD38+ B cell	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.308363401	B cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0001640	0.306894021	Hypertrichosis-acromegaloid facial appearance syndrome	http://www.orpha.net/ORDO/Orphanet_966	0.287010627							
BAFF-R on IgD+ CD38dim B cell	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.269082709	B cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0001640	0.267800505	Hypertrichosis-acromegaloid facial appearance syndrome	http://www.orpha.net/ORDO/Orphanet_966	0.250449946							
Benign mammary dysplasia	breast fibrocystic disease	http://www.ebi.ac.uk/efo/EFO_0003014	0.877887233	dysplasia	http://www.ebi.ac.uk/efo/EFO_0008501	0.694649122	Bent bone dysplasia	http://www.orpha.net/ORDO/Orphanet_93439	0.579120207							
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT)	thrombotic disease	http://purl.obolibrary.org/obo/MONDO_0000831	0.574938342	Thromboembolism	http://purl.obolibrary.org/obo/HP_0001907	0.479574889	Abnormal thrombosis	http://purl.obolibrary.org/obo/HP_0001977	0.475790656							
C-C motif chemokine 14	C-C motif chemokine 14 measurement	http://www.ebi.ac.uk/efo/EFO_0008042	0.678740745	CCL13 measurement	http://www.ebi.ac.uk/efo/EFO_0009411	0.59841905	CCL17 measurement	http://www.ebi.ac.uk/efo/EFO_0009414	0.597826265							
C-C motif chemokine 17	CCL17 measurement	http://www.ebi.ac.uk/efo/EFO_0009414	0.714719312	C-C motif chemokine 17 measurement	http://www.ebi.ac.uk/efo/EFO_0008045	0.680118897	CCL13 measurement	http://www.ebi.ac.uk/efo/EFO_0009411	0.591572905							
C-glycosyltryptophan*	tryptophan measurement	http://www.ebi.ac.uk/efo/EFO_0008534	0.55272302	Hypertryptophanemia	http://www.orpha.net/ORDO/Orphanet_2224	0.507240346	Disorder of tryptophan metabolism	http://www.orpha.net/ORDO/Orphanet_289829	0.472797714							
C-X-C motif chemokine 14	C-C motif chemokine 14 measurement	http://www.ebi.ac.uk/efo/EFO_0008042	0.661543997	CCL13 measurement	http://www.ebi.ac.uk/efo/EFO_0009411	0.583257353	CCL17 measurement	http://www.ebi.ac.uk/efo/EFO_0009414	0.582679588							
Carcinoma in situ of uteri, other/unspecified	uterus carcinoma in situ	http://purl.obolibrary.org/obo/MONDO_0004710	0.667948844	in situ carcinoma	http://purl.obolibrary.org/obo/MONDO_0004647	0.652904573	carcinoma	http://www.ebi.ac.uk/efo/EFO_0000313	0.602150052							
CCR2 on CD14- CD16-	autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity	http://purl.obolibrary.org/obo/MONDO_0014313	0.512969076	CD1 mus strain	http://www.ebi.ac.uk/efo/EFO_0005180	0.308948926	Familial dilated cardiomyopathy with conduction defect due to LMNA mutation	http://www.orpha.net/ORDO/Orphanet_300751	0.304123505							
CD14 on Monocytic Myeloid-Derived Suppressor Cells	Myeloid Progenitor Cell Count	http://www.ebi.ac.uk/efo/EFO_0009242	0.459894453	myelosuppression	http://www.ebi.ac.uk/efo/EFO_0007053	0.435622447	myeloid neoplasm	http://www.ebi.ac.uk/efo/EFO_0002427	0.415161329							
CD4-CD8- T cell Absolute Count	Plasma Cell Count	http://www.ebi.ac.uk/efo/EFO_0009248	0.42633198	leukocyte count	http://www.ebi.ac.uk/efo/EFO_0004308	0.407571031	complete blood cell count	http://www.ebi.ac.uk/efo/EFO_0004586	0.390646898							
Chronic gingivitis	gingivitis	http://purl.obolibrary.org/obo/MONDO_0002508	0.808397959	Chronic	http://purl.obolibrary.org/obo/HP_0011010	0.57936666	Chronic colitis	http://purl.obolibrary.org/obo/HP_0100281	0.549127065							
Constipation	constipation disorder	http://purl.obolibrary.org/obo/MONDO_0002203	0.995420495	Constipation	http://purl.obolibrary.org/obo/HP_0002019	0.995420495	Chronic constipation	http://purl.obolibrary.org/obo/HP_0012450	0.809881435							
Cysteine and glycine-rich protein 2	Pyruvate dehydrogenase E3-binding protein deficiency	http://www.orpha.net/ORDO/Orphanet_255182	0.485174348	Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	0.48013457	glycine measurement	http://www.ebi.ac.uk/efo/EFO_0009767	0.433409425							
Diagnoses - main ICD10: C20 Malignant neoplasm of rectum	rectum cancer	http://www.ebi.ac.uk/efo/EFO_1000657	0.717918118	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	0.605543297	cancer	http://www.ebi.ac.uk/efo/EFO_0000311	0.601355988							
