,igd_id,igd_trait,obo_id,label,description,keep
1,ieu-a-982,Lumbar spine bone mineral density,EFO:0008474,spine bone mineral density change measurement,Quantification of a change in mineral density of the spine bones,1
4,ieu-a-982,Lumbar spine bone mineral density,HP:0004348,Abnormality of bone mineral density,"This term applies to all changes in bone mineral density which (depending on severity) can be seen on x-rays as a change in density and or structure of the bone. Changes may affect all bones of the organism, just certain bones or only parts of bones and include decreased mineralisation as may be seen in osteoporosis or increased mineralisation and or ossification as in osteopetrosis, exostoses or any kind of atopic calicfications of different origin and distribution. The overall amount of mineralization of the bone-organ can be measured as the amount of matter per cubic centimeter of bones, usually measured by densitometry of the lumbar spine or hip. The measurements are usually reported as g/cm3 or as a Z-score (the number of standard deviations above or below the mean for the patient's age and sex). Note that measurement with this method does not reflect local changes in other bones, and as such might not be correct with regard the hole bone-organ.",
5,ieu-a-982,Lumbar spine bone mineral density,HP:0004348,Abnormality of bone mineral density,"This term applies to all changes in bone mineral density which (depending on severity) can be seen on x-rays as a change in density and or structure of the bone. Changes may affect all bones of the organism, just certain bones or only parts of bones and include decreased mineralisation as may be seen in osteoporosis or increased mineralisation and or ossification as in osteopetrosis, exostoses or any kind of atopic calicfications of different origin and distribution. The overall amount of mineralization of the bone-organ can be measured as the amount of matter per cubic centimeter of bones, usually measured by densitometry of the lumbar spine or hip. The measurements are usually reported as g/cm3 or as a Z-score (the number of standard deviations above or below the mean for the patient's age and sex). Note that measurement with this method does not reflect local changes in other bones, and as such might not be correct with regard the hole bone-organ.",
6,ieu-a-982,Lumbar spine bone mineral density,EFO:0003923,bone density,"The amount of mineral per square centimeter of BONE. This is the definition used in clinical practice. Actual bone density would be expressed in grams per milliliter. It is most frequently measured by X-RAY ABSORPTIOMETRY or TOMOGRAPHY, X RAY COMPUTED. Bone density is an important predictor for OSTEOPOROSIS.",
7,ieu-a-982,Lumbar spine bone mineral density,CMO:0001553,volumetric bone mineral density,"Measurement of the mineral mass per unit volume of bone, the hard, rigid form of connective tissue constituting most of the skeleton of vertebrates and composed chiefly of calcium salts.",
8,ieu-a-982,Lumbar spine bone mineral density,CMO:0001226,bone mineral density,"Measurement of the mineral mass per unit area of bone, the hard, rigid form of connective tissue constituting most of the skeleton of vertebrates and composed chiefly of calcium salts.",
9,ieu-a-982,Lumbar spine bone mineral density,SCDO:0000629,Increased Bone Mineral Density,"An abnormal increase of bone mineral density, that is, of the amount of matter per cubic centimeter of bones which is often refered to as osteosclerosis. Osteosclerosis can be detected on radiological examination as an increased whiteness (density) of affected bones.",
10,ieu-a-982,Lumbar spine bone mineral density,EFO:0007702,hip bone mineral density,mineral density of the hip bone,
11,ieu-a-982,Lumbar spine bone mineral density,EFO:0007620,volumetric bone mineral density,"quantification of the mineral mass per unit volume of bone, generally expressed in grams per cubic centimeter or per ml. This is not to be confused with bone mineral density as calculated per unit area of bone (grams per square centimeter), which is the definition most commonly used in clinical practice.",
12,ieu-a-982,Lumbar spine bone mineral density,EFO:0007933,radius bone mineral density,mineral density of the radial bone,
13,ieu-a-982,Lumbar spine bone mineral density,EFO:0009270,heel bone mineral density,Quantification of the mineral density of the heel bone,
14,ieu-a-982,Lumbar spine bone mineral density,HP:0011001,Increased bone mineral density,"An abnormal increase of bone mineral density, that is, of the amount of matter per cubic centimeter of bones which is often referred to as osteosclerosis. Osteosclerosis can be detected on radiological examination as an increased whiteness (density) of affected bones.",
15,ieu-a-982,Lumbar spine bone mineral density,HP:0004349,Reduced bone mineral density,"A reduction of bone mineral density, that is, of the amount of matter per cubic centimeter of bones.",
16,ieu-a-982,Lumbar spine bone mineral density,MP:0010119,abnormal bone mineral density,anomaly in the quatitative measurment of mineral content of bone; BMD is used as an indicator of bone strength; bone mineral density is the ratio of bone mineral content to bone size,
17,ieu-a-982,Lumbar spine bone mineral density,MP:0000063,decreased bone mineral density,reduction in the quatitative measurment value of mineral content of bone; BMD is used as an indicator of bone strength used as a measure of structural strength and screen for osteoporosis; bone mineral density is the ratio of bone mineral content to bone size,
18,ieu-a-982,Lumbar spine bone mineral density,MP:0000062,increased bone mineral density,increase in the quatitative measurment value of mineral content of bone; BMD is used as an indicator of bone strength used as a measure of structural strength and screen for osteoporosis; bone mineral density is the ratio of bone mineral content to bone size,
19,ieu-a-982,Lumbar spine bone mineral density,NCIT:C96950,Bone Mineral Density,,
20,ieu-a-982,Lumbar spine bone mineral density,NCIT:C61545,Bone Mineral Density Test,A scanning procedure used to measure calcium and other minerals present in bone.,
21,ieu-a-819,Inflammatory bowel disease,NCIT:C3138,Inflammatory Bowel Disease,"A spectrum of small and large bowel inflammatory diseases of unknown etiology. It includes Crohn's disease, ulcerative colitis, and colitis of indeterminate type.",
22,ieu-a-819,Inflammatory bowel disease,EFO:0003767,inflammatory bowel disease,"A spectrum of small and large bowel inflammatory diseases of unknown etiology. It includes Crohn's disease, ulcerative colitis, and colitis of indeterminate type.",1
23,ieu-a-819,Inflammatory bowel disease,EFO:0003767,inflammatory bowel disease,"A spectrum of small and large bowel inflammatory diseases of unknown etiology.  It includes Crohn's disease, ulcerative colitis, and colitis of indeterminate type. --2003[accessedResource: NCIt:C3138][accessDate: 05-04-2011]",
